Time (s),C1 (V),C2 (V)
-0.0423443535514764,5.47806169823719,4.82142503335752
-0.0423193535514765,5.47450464726981,4.82142503335752
-0.0422943535514765,5.47450464726981,4.82494389872941
-0.0422693535514765,5.47806169823719,4.82494389872941
-0.0422443535514765,5.47806169823719,4.82494389872941
-0.0422193535514765,5.47450464726981,4.82142503335752
-0.0421943535514765,5.47806169823719,4.82142503335752
-0.0421693535514765,5.47450464726981,4.82494389872941
-0.0421443535514765,5.47806169823719,4.82494389872941
-0.0421193535514765,5.47450464726981,4.82494389872941
-0.0420943535514765,5.47806169823719,4.82494389872941
-0.0420693535514765,5.47450464726981,4.82494389872941
-0.0420443535514765,5.47806169823719,4.82494389872941
-0.0420193535514765,5.47806169823719,4.82142503335752
-0.0419943535514765,5.47806169823719,4.82494389872941
-0.0419693535514765,5.47806169823719,4.82142503335752
-0.0419443535514765,5.47806169823719,4.82142503335752
-0.0419193535514765,5.47450464726981,4.82494389872941
-0.0418943535514765,5.47806169823719,4.82494389872941
-0.0418693535514764,5.47450464726981,4.82494389872941
-0.0418443535514765,5.47450464726981,4.82494389872941
-0.0418193535514765,5.47450464726981,4.82142503335752
-0.0417943535514765,5.47450464726981,4.82142503335752
-0.0417693535514765,5.47806169823719,4.82142503335752
-0.0417443535514765,5.47450464726981,4.82494389872941
-0.0417193535514765,5.47450464726981,4.82494389872941
-0.0416943535514765,5.47450464726981,4.82142503335752
-0.0416693535514764,5.47450464726981,4.82142503335752
-0.0416443535514765,5.47806169823719,4.82142503335752
-0.0416193535514765,5.47806169823719,4.82494389872941
-0.0415943535514765,5.47806169823719,4.82494389872941
-0.0415693535514765,5.47806169823719,4.82494389872941
-0.0415443535514765,5.47806169823719,4.82494389872941
-0.0415193535514765,5.47806169823719,4.82494389872941
-0.0414943535514765,5.47806169823719,4.82494389872941
-0.0414693535514764,5.47806169823719,4.82494389872941
-0.0414443535514765,5.47806169823719,4.82494389872941
-0.0414193535514765,5.47450464726981,4.82494389872941
-0.0413943535514765,5.47806169823719,4.82494389872941
-0.0413693535514765,5.47450464726981,4.82494389872941
-0.0413443535514764,5.47450464726981,4.82494389872941
-0.0413193535514765,5.47806169823719,4.82494389872941
-0.0412943535514765,5.47806169823719,4.82494389872941
-0.0412693535514765,5.47806169823719,4.82494389872941
-0.0412443535514765,5.47806169823719,4.82142503335752
